Policy Name,AAAHC Standard Area,Purpose,Scope,Status,Owner,Last Updated,Version
Patient Rights and Responsibilities,Patient Rights,Explain student rights and responsibilities when receiving care at RIH,All students receiving medical counseling or wellness services,In Review,Administrative Team,2025-10-12,v1.2
Notice of Privacy Practices,Privacy,Describe how health information is protected and shared,All RIH services and student-facing privacy communications,In Review,Health Operations,2025-10-20,v1.1
Infection Prevention and Control,Infection Prevention,Reduce risk of infection through safe clinical procedures,Clinical staff medical services and treatment areas,Completed,Clinical Services,2025-09-15,v2.0
Emergency Preparedness Plan,Emergency Preparedness,Guide staff response during emergencies and service disruptions,All RIH staff and service areas,Draft,Health Operations,2025-08-30,v0.8
Behavioral Health Crisis Referral,Behavioral Health,Standardize response and referral steps for students in crisis,Counseling services and after-hours crisis support,In Review,Counseling Services,2025-11-05,v1.0
Clinical Documentation Standards,Clinical Records,Support accurate consistent and timely documentation,Medical services counseling services and administrative records,Draft,Medical Services,2025-09-28,v0.7
Medication Storage and Safety,Medication Safety,Ensure safe medication handling storage and monitoring,Clinical treatment rooms and medication storage areas,Completed,Clinical Services,2025-09-18,v1.5
Quality Improvement Program,Quality Improvement,Define how RIH selects tracks and reviews QI projects,RIH leadership and cross-functional service teams,In Review,Quality Improvement Team,2025-11-10,v1.0
Incident Reporting and Review,Risk Management,Create a consistent process for reporting and reviewing incidents,All RIH staff and operational areas,Draft,Health Operations,2025-10-01,v0.6
Health Promotion Outreach Documentation,Health Promotion,Document outreach events participation and evaluation results,Health promotion staff student outreach programs and campus partners,Completed,Health Promotion,2025-08-22,v1.3
Staff Training and Competency,Staff Training,Track required staff training onboarding and annual competency review,All RIH employees student workers and graduate assistants,In Review,Administrative Team,2025-10-25,v1.1
Referral Management Procedure,Behavioral Health,Standardize internal and external referral tracking and follow-up,Medical counseling and administrative referral workflows,Draft,Counseling Services,2025-11-02,v0.9
