Standard Area,Requirement,Evidence Needed,Current Status,Gap,Priority,Responsible Team
Governance,Documented leadership responsibilities,Updated organizational chart and responsibility matrix,Ready,None,Medium,Health Operations
Patient Rights,Student-facing rights and responsibilities document,Plain-language Patient Rights and Responsibilities policy,In Progress,Needs plain-language review,High,Administrative Team
Quality Improvement,Active QI program with measurable indicators,QI project log and monthly KPI dashboard,In Progress,Need stronger evidence of monthly review,High,Quality Improvement Team
Infection Prevention,Written infection prevention and control plan,Annual infection prevention policy and training record,Ready,None,High,Clinical Services
Emergency Preparedness,Emergency response and continuity plan,Emergency preparedness policy and drill documentation,Gap Identified,Drill documentation incomplete,High,Health Operations
Behavioral Health,Behavioral health protocols and referral process,Counseling workflow and crisis referral procedure,In Progress,Referral workflow needs update,High,Counseling Services
Clinical Records,Standardized documentation practices,Chart review checklist and documentation audit results,Gap Identified,Audit sample not finalized,Medium,Medical Services
Medication Safety,Medication storage and safety procedures,Medication safety policy and temperature logs,Ready,None,Medium,Clinical Services
Privacy,Notice of Privacy Practices and confidentiality procedures,Updated NPP and staff acknowledgement records,In Progress,NPP needs final approval,High,Administrative Team
Health Promotion,Documented outreach and prevention activities,Health promotion calendar and evaluation summary,Ready,None,Low,Health Promotion
Risk Management,Incident reporting and risk review process,Incident log and risk review meeting notes,Gap Identified,Need centralized tracking process,High,Health Operations
Staff Training,Training records for required policies,Training completion report and onboarding checklist,In Progress,Need version control in training folder,Medium,Administrative Team
